question,answer,text
Which 2 surnames are linked to a ‘60s terrorist group that became the Red Army Faction?,BAADER-MEINHOF,Which 2 surnames are linked to a ‘60s terrorist group that became the Red Army Faction? BAADER-MEINHOF
The Rembrandt Tower is a 135 metre tall building in which Dutch city?,AMSTERDAM,The Rembrandt Tower is a 135 metre tall building in which Dutch city? AMSTERDAM
What is the name of the town featured in Dad's Army,Walmington -on -Sea,What is the name of the town featured in Dad's Army Walmington -on -Sea
What type of fish was Nemo?,Clownfish,What type of fish was Nemo? Clownfish
"In the Bible, who was thrown out of a window and eaten by dogs?",JEZEBEL,"In the Bible, who was thrown out of a window and eaten by dogs? JEZEBEL"
"The lead singer of The Undertones later achieved success as a solo act, what was his name?",Feargal Sharkey,"The lead singer of The Undertones later achieved success as a solo act, what was his name? Feargal Sharkey"
Which car manufacturer currently produces models called Cruze and Trax?,Chevrolet,Which car manufacturer currently produces models called Cruze and Trax? Chevrolet
What sport is played by the Indiana Pacers,Basketball,What sport is played by the Indiana Pacers Basketball
On what island is the city of Palma located?,Mallorca,On what island is the city of Palma located? Mallorca
What African country experienced a 2012 rebellion by Tuareg fighters?,Mali,What African country experienced a 2012 rebellion by Tuareg fighters? Mali
Half the island of Timor belongs to East Timor. Which country owns the other half?,INDONESIA,Half the island of Timor belongs to East Timor. Which country owns the other half? INDONESIA
The names of how many US states begin with the letter ‘L’?,One,The names of how many US states begin with the letter ‘L’? One
The Bay of Plenty is on the coast of which country?,New Zealand,The Bay of Plenty is on the coast of which country? New Zealand
In what detective programme did Gene Barry play a millionaire detective,Burke's Law,In what detective programme did Gene Barry play a millionaire detective Burke's Law
What is the name of the medal known internationally as the animals Victoria Cross?,The (PDSA) Dickin Medal,What is the name of the medal known internationally as the animals Victoria Cross? The (PDSA) Dickin Medal
Which history professor founded UKIP in September 1993?,Alan Sked,Which history professor founded UKIP in September 1993? Alan Sked
Who was Marilyn Monroe's last husband,Arthur Miller,Who was Marilyn Monroe's last husband Arthur Miller
David Mitchell is married to which TV quiz presenter and journalist ?,VICTORIA COREN,David Mitchell is married to which TV quiz presenter and journalist ? VICTORIA COREN
"""In which TV comedy has fictional actor Andy Millman cried on """"Celebrity Big Brother,"""" his agent Darren Lamb suggested anyone other than his only client for roles and Ross Kemp tried to steal sweets off the BBC?""",Extras,"""In which TV comedy has fictional actor Andy Millman cried on """"Celebrity Big Brother,"""" his agent Darren Lamb suggested anyone other than his only client for roles and Ross Kemp tried to steal sweets off the BBC?"" Extras"
"One of the circuits for the 2011 Formula One season, The Marina Bay Street Circuit can be found in which Asian city?",SINGAPORE,"One of the circuits for the 2011 Formula One season, The Marina Bay Street Circuit can be found in which Asian city? SINGAPORE"
"""In his famous poem, precisely how many daffodils did Wordsworth see """"at a glance""""?""",Ten thousand,"""In his famous poem, precisely how many daffodils did Wordsworth see """"at a glance""""?"" Ten thousand"
What is the name of Inspector Gadget’s dog in the children’s tv cartoon series ‘Inspector Gadget’?,Brain,What is the name of Inspector Gadget’s dog in the children’s tv cartoon series ‘Inspector Gadget’? Brain
Only two wild cats live wild in Europe – the wild cat itself is one – what is the other?,Lynx,Only two wild cats live wild in Europe – the wild cat itself is one – what is the other? Lynx
In which month of 1945 did the USA drop the atom bomb on Hiroshima and Nagasaki ?,AUGUST,In which month of 1945 did the USA drop the atom bomb on Hiroshima and Nagasaki ? AUGUST
What is the best-selling band whose name is a U.S. state?,Alabama,What is the best-selling band whose name is a U.S. state? Alabama
'Boris Godunov' was the only completed opera of which composer?,(Modest) Mussorgsky,'Boris Godunov' was the only completed opera of which composer? (Modest) Mussorgsky
Which Italian theoretical and experimental physicist was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity and the discovery of transuranic elements?,(Enrico) Fermi,Which Italian theoretical and experimental physicist was awarded the 1938 Nobel Prize in Physics for his work on induced radioactivity and the discovery of transuranic elements? (Enrico) Fermi
"In 2010, the International Cricket Council turned down a nomination for Vice President from ex-Australian Prime Minister John Howard in favour of one from Alan Isaac, who was from which country?",New Zealand,"In 2010, the International Cricket Council turned down a nomination for Vice President from ex-Australian Prime Minister John Howard in favour of one from Alan Isaac, who was from which country? New Zealand"
What company was co-founded by Steve Wozniak?,Apple,What company was co-founded by Steve Wozniak? Apple
"In UK TV's 'Noel Edmund's House Party', the 'house' was situated near to which village?",CRINKLEY BOTTOM,"In UK TV's 'Noel Edmund's House Party', the 'house' was situated near to which village? CRINKLEY BOTTOM"
Which US president was shot five days after the end of the American Civil War?,Abraham Lincoln,Which US president was shot five days after the end of the American Civil War? Abraham Lincoln
"Miss Twinkleton, Canon Crisparkle and John Jasper are characters in which Charles Dickens novel?",THE MYSTERY OF EDWIN DROOD,"Miss Twinkleton, Canon Crisparkle and John Jasper are characters in which Charles Dickens novel? THE MYSTERY OF EDWIN DROOD"
Sherborne Castle is in which English county?,Dorset,Sherborne Castle is in which English county? Dorset
"What is the title of Elvis Presley’s first hit single, recorded at Sun Studio in Memphis?",That’s All Right,"What is the title of Elvis Presley’s first hit single, recorded at Sun Studio in Memphis? That’s All Right"
Who is the Shadow Home Secretary?,ANDY BURNHAM,Who is the Shadow Home Secretary? ANDY BURNHAM
"Freddie Mercury, Brian May, Roger Taylor and who, made up the rock band 'Queen'?",JOHN DEACON,"Freddie Mercury, Brian May, Roger Taylor and who, made up the rock band 'Queen'? JOHN DEACON"
What ocean borders the US state of Georgia?,Atlantic,What ocean borders the US state of Georgia? Atlantic
Which English author wrote the 1928 novel ‘Orlando: A Biography’?,Virginia Woolf,Which English author wrote the 1928 novel ‘Orlando: A Biography’? Virginia Woolf
Which song gave Vic Reeves and The Wonder Stuff a number one hit in 1991?,Dizzy,Which song gave Vic Reeves and The Wonder Stuff a number one hit in 1991? Dizzy
"The only sitcom created solely by Johnnie Mortimer, which 1981-1991 sitcom starred Windsor Davies and Donald Sinden as warring antique dealers?",NEVER THE TWAIN,"The only sitcom created solely by Johnnie Mortimer, which 1981-1991 sitcom starred Windsor Davies and Donald Sinden as warring antique dealers? NEVER THE TWAIN"
In gastronomy the name of which popular dish stems from the Portuguese for wine and garlic?,VINDALOO,In gastronomy the name of which popular dish stems from the Portuguese for wine and garlic? VINDALOO
"Where were the minerals 'Pyroxferroite', 'Armalcolite' and 'Tranquillityite' first discovered in 1969 and 1971?",THE MOON,"Where were the minerals 'Pyroxferroite', 'Armalcolite' and 'Tranquillityite' first discovered in 1969 and 1971? THE MOON"
Who was the last French tennis player to win the men's singles title at the French Open?,Yannick Noah,Who was the last French tennis player to win the men's singles title at the French Open? Yannick Noah
Who rode a horse called Binky in Terry Pratchett’s Discworld novels?,Death,Who rode a horse called Binky in Terry Pratchett’s Discworld novels? Death
Where did the borzoi dog breed originate?,Russia,Where did the borzoi dog breed originate? Russia
Which British Prime Minister was nicknamed The Grocer in Private Eye?,Edward Heath,Which British Prime Minister was nicknamed The Grocer in Private Eye? Edward Heath
"The Treaty of San Francisco, which came into effect on April 28, 1952, officially ended what?",World War II,"The Treaty of San Francisco, which came into effect on April 28, 1952, officially ended what? World War II"
"What is the name of the eastern part of the Sahara Desert, lying between the Nile and the Red Sea in north-eastern Sudan?",NUBIAN DESERT,"What is the name of the eastern part of the Sahara Desert, lying between the Nile and the Red Sea in north-eastern Sudan? NUBIAN DESERT"
In which city was the first public opera house opened?,Venice,In which city was the first public opera house opened? Venice
"""From which Shakespeare play doesthe quotation, """"Lord what fools these mortals be"""", come?""",'A MIDSUMMER NIGHT'S DREAM',"""From which Shakespeare play doesthe quotation, """"Lord what fools these mortals be"""", come?"" 'A MIDSUMMER NIGHT'S DREAM'"
The title of which classic set in Africa is taken from a line in Yeats' poem The Second Coming and precedes the words 'the centre cannot hold'?,Things Fall Apart (1958),The title of which classic set in Africa is taken from a line in Yeats' poem The Second Coming and precedes the words 'the centre cannot hold'? Things Fall Apart (1958)
